epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,861.374,0.84658,3.50104,1.18752,0.209,0.46458,0.24116,0.18651,0.82021,3.39351,1.20066,0.00017454,0.00017454,0.00017454
2,1568.46,0.76599,2.55608,1.10079,0.28346,0.50949,0.36734,0.28662,0.76009,2.87606,1.10995,0.000342946,0.000342946,0.000342946
3,2273.68,0.75581,2.20217,1.09469,0.43817,0.46696,0.43098,0.3469,0.78269,2.38503,1.09638,0.000504408,0.000504408,0.000504408
4,2979.92,0.75478,1.88972,1.07727,0.54008,0.65518,0.63965,0.5264,0.71421,1.79803,1.06294,0.000494756,0.000494756,0.000494756
5,3683.89,0.71381,1.61544,1.05673,0.69876,0.65547,0.73021,0.61166,0.70852,1.40864,1.04691,0.000484341,0.000484341,0.000484341
6,4394.81,0.69924,1.41269,1.04092,0.76938,0.71356,0.79524,0.66494,0.70181,1.13736,1.03134,0.000473926,0.000473926,0.000473926
7,5099.02,0.6723,1.27174,1.03484,0.80834,0.7521,0.82405,0.68936,0.6794,1.00913,1.03827,0.000463511,0.000463511,0.000463511
8,5803.88,0.67966,1.21114,1.03657,0.84684,0.76001,0.84236,0.70528,0.67111,0.89584,1.02368,0.000453096,0.000453096,0.000453096
9,6508.42,0.64989,1.10591,1.02691,0.87767,0.76773,0.86561,0.72453,0.67536,0.85379,1.01932,0.000442682,0.000442682,0.000442682
10,7211.02,0.64541,1.07184,1.017,0.88001,0.79142,0.88611,0.7576,0.63803,0.79167,0.99512,0.000432267,0.000432267,0.000432267
11,7918.4,0.64888,1.01153,1.01872,0.89836,0.7965,0.8831,0.74519,0.65224,0.74342,0.99461,0.000421852,0.000421852,0.000421852
12,8624.1,0.6412,0.97169,1.00799,0.915,0.78882,0.89193,0.74623,0.66342,0.70252,1.01547,0.000411437,0.000411437,0.000411437
13,9322.61,0.62599,0.91902,1.00569,0.93478,0.81393,0.90278,0.76193,0.65301,0.64802,0.99512,0.000401022,0.000401022,0.000401022
14,10048.2,0.61828,0.87867,0.99774,0.94202,0.81317,0.90653,0.77215,0.62697,0.62286,0.98775,0.000390608,0.000390608,0.000390608
15,10836.4,0.61614,0.86976,1.00527,0.92856,0.83654,0.91202,0.77702,0.6243,0.58517,0.97864,0.000380193,0.000380193,0.000380193
16,11613.3,0.61025,0.83346,0.995,0.93337,0.82064,0.91382,0.77479,0.6391,0.59053,0.98721,0.000369778,0.000369778,0.000369778
17,12387.6,0.60083,0.82769,0.99319,0.9416,0.84373,0.9274,0.79256,0.61724,0.54724,0.97035,0.000359363,0.000359363,0.000359363
18,13166.7,0.59251,0.79895,0.98643,0.9439,0.83373,0.92957,0.78681,0.6285,0.5413,0.97682,0.000348948,0.000348948,0.000348948
19,13936.9,0.59585,0.79688,0.99092,0.93208,0.85276,0.93038,0.78877,0.62158,0.53257,0.97697,0.000338534,0.000338534,0.000338534
20,14621.1,0.60422,0.76355,0.98743,0.92845,0.83585,0.9239,0.78408,0.6134,0.52953,0.97761,0.000328119,0.000328119,0.000328119
